,Date,Volume,Close
2019-02-04,2019-02-04,11887505,98.0300
2019-02-01,2019-02-01,12720801,97.4700
2019-01-31,2019-01-31,16044408,96.4700
2019-01-30,2019-01-30,7750402,94.5200
2019-01-29,2019-01-29,9769782,93.5400
2019-01-28,2019-01-28,9765584,93.5200
2019-01-25,2019-01-25,10618588,93.6000
2019-01-24,2019-01-24,12146363,94.3000
2019-01-23,2019-01-23,22868970,94.8400
2019-01-22,2019-01-22,13518523,90.4400
2019-01-18,2019-01-18,9100592,91.4200
2019-01-17,2019-01-17,8044793,90.6400
2019-01-16,2019-01-16,7964516,91.3700
2019-01-15,2019-01-15,7834918,92.0100
2019-01-14,2019-01-14,7952044,91.1500
2019-01-11,2019-01-11,7166579,91.7700
2019-01-10,2019-01-10,11102312,91.1700
2019-01-09,2019-01-09,15015597,90.9500
2019-01-08,2019-01-08,9551291,92.4600
2019-01-07,2019-01-07,9012540,92.1200
2019-01-04,2019-01-04,10565749,92.4900
2019-01-03,2019-01-03,9820374,90.6400
2019-01-02,2019-01-02,9843939,91.2800
2018-12-31,2018-12-31,7239670,91.9200
2018-12-28,2018-12-28,9611761,91.1800
2018-12-27,2018-12-27,11360085,92.0200
2018-12-26,2018-12-26,8630949,90.0900
2018-12-24,2018-12-24,7396254,87.3600
2018-12-21,2018-12-21,24029977,90.9700
2018-12-20,2018-12-20,14439240,90.9800
2018-12-19,2018-12-19,10825589,91.7600
2018-12-18,2018-12-18,12250559,92.4900
2018-12-17,2018-12-17,12427573,92.7700
2018-12-14,2018-12-14,12657340,96.6400
2018-12-13,2018-12-13,18541297,96.4900
2018-12-12,2018-12-12,9644033,94.0300
2018-12-11,2018-12-11,8743799,93.9100
2018-12-10,2018-12-10,9307667,93.0300
2018-12-07,2018-12-07,7996809,92.4500
2018-12-06,2018-12-06,14199248,93.5500
2018-12-04,2018-12-04,11123554,93.3100
2018-12-03,2018-12-03,13931722,93.3200
2018-11-30,2018-11-30,16291817,94.5100
2018-11-29,2018-11-29,6126911,92.8200
2018-11-28,2018-11-28,8093706,93.0100
2018-11-27,2018-11-27,9023638,92.7200
2018-11-26,2018-11-26,8171444,91.9400
2018-11-23,2018-11-23,4399630,91.5400
2018-11-21,2018-11-21,8912177,91.4100
2018-11-20,2018-11-20,12074435,92.1000
2018-11-19,2018-11-19,9458329,93.2900
2018-11-16,2018-11-16,13013482,93.8200
2018-11-15,2018-11-15,12505987,93.8300
2018-11-14,2018-11-14,11622993,93.4900
