timestamp,open,high,low,close,volume
2019-05-03,319.8500,338.7000,319.8500,328.8600,289213
2019-05-02,303.5500,318.1000,302.4900,317.8700,211183
2019-05-01,309.8200,310.0000,301.5800,304.7500,171021
2019-04-30,303.4600,310.3700,302.5500,310.0100,143833
2019-04-29,304.6000,308.0300,302.1400,304.0900,174446
2019-04-26,300.0900,305.8100,297.3600,304.5600,163533
2019-04-25,300.0000,304.6800,284.3400,300.0000,430523
2019-04-24,280.1200,286.6000,276.1000,276.4300,260388
2019-04-23,270.3100,281.0550,270.3100,277.7300,238962
2019-04-22,266.0800,273.5200,265.9000,271.3400,175072
2019-04-18,265.8200,270.2600,263.3600,266.9700,132145
2019-04-17,268.6000,270.1100,264.9900,265.8200,170393
2019-04-16,264.9400,270.5600,264.2600,268.4000,179768
2019-04-15,261.0000,264.6500,258.3400,264.2100,195048
2019-04-12,267.7700,268.8800,260.1900,261.2700,139003
2019-04-11,268.1900,271.0709,263.9800,266.5900,161081
2019-04-10,269.3900,274.0300,267.8300,268.0500,119115
2019-04-09,266.6700,270.3400,266.0000,269.3400,112331
2019-04-08,268.1000,268.1000,261.5000,267.8100,189359
2019-04-05,270.5000,274.4900,260.6300,268.3300,455589
2019-04-04,280.4700,286.6200,280.3415,284.0000,138883
2019-04-03,284.7000,289.3000,277.6800,279.7000,163663
2019-04-02,290.1300,291.8900,284.4700,285.6100,181509
2019-04-01,296.0000,296.0000,288.4500,290.0300,97268
2019-03-29,292.7900,298.0000,290.6465,294.7300,108563
2019-03-28,292.5900,293.5900,287.0850,290.9500,70618
2019-03-27,291.4300,293.0300,283.6200,290.9200,96662
2019-03-26,287.3300,294.6814,284.8900,292.5700,115229
2019-03-25,285.8800,290.6400,285.8800,286.5100,85759
2019-03-22,295.0000,296.7250,285.8600,286.0400,116565
2019-03-21,296.3000,303.2600,296.3000,297.1600,90500
2019-03-20,301.0200,303.7800,295.2100,298.4200,127666
2019-03-19,314.3800,314.3800,299.3700,302.3600,166284
2019-03-18,304.9600,314.0109,304.9600,312.6000,178597
2019-03-15,308.5700,314.7500,306.3950,306.6200,164067
2019-03-14,315.8800,317.1700,306.2200,307.6600,120474
2019-03-13,314.5400,318.5000,311.6500,315.9400,125124
2019-03-12,318.6300,318.6300,311.4423,313.8300,90302
2019-03-11,315.4500,320.1400,314.1000,319.0900,138883
2019-03-08,311.7600,315.7633,308.5800,314.0800,100518
2019-03-07,312.1100,316.2200,311.4800,312.4000,117367
2019-03-06,310.3900,314.6700,309.4900,311.7400,131331
2019-03-05,306.4000,310.4000,303.2900,309.5500,100771
2019-03-04,306.0000,307.1500,297.9050,306.9600,149914
2019-03-01,314.7000,315.0000,304.7500,304.8800,139769
2019-02-28,306.0700,313.9000,305.9200,312.5600,169822
2019-02-27,307.9600,307.9600,304.1550,305.6700,110036
2019-02-26,303.1700,308.6600,303.1700,306.3500,157706
2019-02-25,307.6900,307.7000,301.9500,304.4200,136990
2019-02-22,300.6600,311.3600,296.6100,308.7000,164006
2019-02-21,280.5200,308.8300,276.0000,306.7500,438912
2019-02-20,269.4200,274.5300,266.0400,268.3000,200606
2019-02-19,270.4300,272.1900,266.4000,268.9300,129824
2019-02-15,272.9300,273.3800,269.2300,271.3500,89710
2019-02-14,267.1400,273.0800,267.1400,270.5200,105870
2019-02-13,269.6400,271.4300,266.2100,269.3200,145753
2019-02-12,262.6800,268.6600,257.7000,268.4200,127449
2019-02-11,264.4800,265.5100,257.3300,261.6500,131878
2019-02-08,259.4700,264.5600,257.5300,264.0800,153455
2019-02-07,251.1800,262.5600,249.6200,260.2500,161944
2019-02-06,253.6800,254.6700,247.8800,251.9000,90614
2019-02-05,246.5000,255.7700,246.5000,254.6700,142404
2019-02-04,246.1900,249.6100,242.4700,244.2800,70724
2019-02-01,250.6500,250.6500,245.3500,245.9200,71714
2019-01-31,244.4200,249.7000,243.8200,249.1600,113555
2019-01-30,245.9600,246.1600,241.7200,244.1800,98681
2019-01-29,246.8500,249.6700,242.3300,244.8300,109324
2019-01-28,247.3700,251.9900,245.3400,246.8500,108570
2019-01-25,244.3600,249.5150,244.0300,248.8700,84853
2019-01-24,248.5500,253.5700,241.7301,243.1200,65167
2019-01-23,242.4500,249.8900,240.6038,248.9600,116136
